Zone,Population,Importations - Quantité,Variation de stock,Exportations - Quantité,Disponibilité intérieure,Pertes,Résidus,Disponibilité alimentaire en quantité (kg/personne/an),"PIB par habitant, ($ PPA internationaux constants de 2017)",Stabilité politique et absence de violence/terrorisme (indice)
Afghanistan,36296113.0,29.0,0.0,0.0,57.0,2.0,0.0,1.53,2058.4,-2.8
Afrique du Sud,57009756.0,514.0,0.0,63.0,2118.0,83.0,0.0,35.69,13860.3,-0.28
Albanie,2884169.0,38.0,4.0,0.0,47.0,0.0,0.0,16.36,12771.0,0.38
Algérie,41389189.0,2.0,0.0,0.0,277.0,13.0,0.0,6.38,11737.4,-0.92
Allemagne,82658409.0,842.0,-29.0,646.0,1739.0,0.0,-38.0,19.47,53071.5,0.59
Andorre,77001.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.42
Angola,29816766.0,277.0,0.0,0.0,319.0,2.0,0.0,10.56,7310.9,-0.38
Antigua-et-Barbuda,95426.0,7.0,0.0,0.0,7.0,0.0,0.0,54.1,19840.3,0.75
Arabie saoudite,33101178.999999996,722.0,-108.0,10.0,1435.0,0.0,0.0,43.36,47306.2,-0.64
Argentine,43937140.0,8.0,0.0,207.0,1962.0,106.0,0.0,42.24,23597.1,0.17
Arménie,2944791.0,35.0,-2.0,0.0,47.0,0.0,0.0,16.06,12115.1,-0.62
Australie,24584620.0,16.0,71.0,42.0,1171.0,0.0,0.0,47.65,48398.5,0.9
Autriche,8819901.0,110.0,8.0,78.0,173.0,0.0,0.0,18.2,54173.0,1.05
Azerbaïdjan,9845320.0,27.0,2.0,0.0,129.0,0.0,0.0,13.11,14121.4,-0.75
Bahamas,381755.0,24.0,4.0,0.0,26.0,0.0,0.0,43.17,35911.7,0.99
Bahreïn,1494076.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47709.8,-0.96
Bangladesh,159685424.0,0.0,0.0,0.0,250.0,10.0,0.0,1.5,4894.6,-1.26
Barbade,286232.0,2.0,0.0,0.0,17.0,0.0,0.0,46.78,15800.4,0.97
Belgique,11419748.0,338.0,-6.0,656.0,152.0,0.0,-25.0,12.65,50442.3,0.43
Belize,375769.0,0.0,1.0,0.0,19.0,0.0,0.0,25.69,7140.9,0.04
Bermudes,63049.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81835.0,1.0
Bhoutan,745563.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11142.5,1.12
Bolivie (État plurinational de),11192855.0,1.0,103.0,1.0,429.0,27.0,0.0,36.0,8423.7,-0.28
Bosnie-Herzégovine,3351525.0,10.0,8.0,8.0,55.0,0.0,-1.0,16.7,13753.8,-0.35
Botswana,2205080.0,3.0,0.0,0.0,7.0,0.0,0.0,3.39,15948.0,1.02
Brunéi Darussalam,424473.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60994.5,1.16
Bulgarie,7102444.0,108.0,13.0,45.0,157.0,0.0,0.0,22.06,21469.9,0.33
Burkina Faso,19193234.0,0.0,0.0,0.0,46.0,2.0,0.0,2.27,2044.4,-0.93
Burundi,10827019.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,773.6,-2.01
Bélarus,9450231.0,21.0,67.0,152.0,265.0,0.0,0.0,27.98,18356.1,-0.05
Bénin,11175198.0,123.0,-20.0,0.0,161.0,0.0,0.0,14.4,3044.5,0.03
Cabo Verde,537498.0,12.0,4.0,0.0,10.0,0.0,0.0,17.62,6643.2,0.77
Cambodge,16009409.0,10.0,0.0,0.0,38.0,1.0,0.0,2.34,3928.4,0.09
Cameroun,24566073.0,0.0,0.0,0.0,82.0,4.0,0.0,3.16,3665.1,-1.1
Canada,36732095.0,182.0,3.0,163.0,1433.0,0.0,0.0,39.02,48317.2,1.1
Chili,18470439.0,155.0,80.0,115.0,672.0,0.0,0.0,36.36,24411.5,0.42
Chine - RAS de Hong-Kong,7306322.0,907.0,-12.0,663.0,280.0,0.0,-125.0,53.51,59842.2,0.83
Chine - RAS de Macao,622585.0,23.0,8.0,0.0,19.0,0.0,0.0,34.47,126144.0,1.43
"Chine, Taiwan Province de",23674546.0,161.0,20.0,8.0,785.0,0.0,0.0,33.17,0.0,0.86
Chypre,1179678.0,14.0,0.0,1.0,38.0,1.0,0.0,25.08,38288.0,0.54
Colombie,48909839.0,78.0,-4.0,2.0,1643.0,78.0,0.0,31.99,14171.3,-0.77
Comores,813892.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3032.3,0.04
Congo,5110695.0,104.0,0.0,0.0,110.0,0.0,0.0,21.53,4234.7,-0.53
Costa Rica,4949954.0,17.0,13.0,3.0,134.0,0.0,0.0,26.52,20347.0,0.61
Croatie,4182857.0,24.0,22.0,17.0,45.0,0.0,0.0,10.77,27154.1,0.69
Cuba,11339254.0,312.0,-1.0,0.0,342.0,0.0,0.0,23.72,0.0,0.65
Côte d'Ivoire,24437470.0,7.0,0.0,0.0,65.0,3.0,0.0,2.53,4830.8,-1.09
Danemark,5732274.0,133.0,0.0,139.0,167.0,0.0,0.0,28.98,55356.7,0.87
Djibouti,944099.0,3.0,0.0,0.0,3.0,0.0,0.0,2.68,4905.0,-0.74
Dominique,71458.0,4.0,0.0,0.0,4.0,0.0,0.0,35.19,11341.3,1.2
El Salvador,6388126.0,16.0,20.0,2.0,131.0,0.0,0.0,20.43,8454.1,-0.26
Espagne,46647428.0,205.0,11.0,212.0,1497.0,66.0,0.0,30.39,39528.9,0.28
Estonie,1319390.0,21.0,2.0,11.0,29.0,1.0,0.0,21.26,33821.9,0.65
Eswatini,1124805.0,2.0,0.0,0.0,7.0,0.0,0.0,6.46,8408.0,-0.27
Fidji,877459.0,3.0,1.0,0.0,26.0,0.0,0.0,28.02,13429.3,0.62
Finlande,5511371.0,16.0,22.0,12.0,111.0,0.0,0.0,18.76,47570.1,1.08
France,64842509.0,506.0,183.0,501.0,1573.0,0.0,-2.0,22.9,44577.1,0.28
Fédération de Russie,145530082.0,226.0,-1.0,115.0,4556.0,0.0,-7.0,30.98,25926.4,-0.64
Gabon,2064822.9999999998,76.0,2.0,0.0,78.0,0.0,0.0,29.33,15006.8,-0.1
Gambie,2213889.0,16.0,10.0,0.0,8.0,0.0,0.0,3.53,2072.6,-0.08
Ghana,29121465.0,151.0,0.0,0.0,211.0,0.0,0.0,7.24,5115.9,0.09
Grenade,110874.0,7.0,0.0,0.0,8.0,0.0,0.0,45.7,16217.5,1.01
Groenland,56481.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.92
Grèce,10569450.0,79.0,118.0,29.0,178.0,0.0,0.0,15.32,28604.9,-0.07
Guatemala,16914970.0,129.0,0.0,7.0,357.0,12.0,-3.0,20.58,8322.2,-0.65
Guinée,12067519.0,37.0,0.0,0.0,50.0,1.0,0.0,4.08,2417.8,-0.7
Guinée équatoriale,1262002.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22551.0,-0.17
Guinée-Bissau,1828145.0,4.0,3.0,0.0,4.0,0.0,0.0,2.16,1925.2,-0.5
Guyana,775222.0,0.0,-1.0,0.0,32.0,0.0,0.0,38.34,12005.4,-0.04
Géorgie,4008716.0,51.0,6.0,5.0,61.0,0.0,0.0,15.27,13589.7,-0.37
Haïti,10982366.0,89.0,0.0,0.0,98.0,0.0,0.0,8.91,3153.3,-0.67
Honduras,9429013.0,12.0,-1.0,1.0,205.0,0.0,0.0,21.73,5562.0,-0.56
Hongrie,9729823.0,58.0,74.0,210.0,266.0,18.0,-13.0,25.27,29501.1,0.81
Indonésie,264650963.0,1.0,-21.0,0.0,2323.0,113.0,0.0,7.19,10935.6,-0.5
Iran (République islamique d'),80673883.0,6.0,-86.0,45.0,2220.0,0.0,0.0,27.52,15883.4,-0.93
Iraq,37552781.0,470.0,0.0,0.0,566.0,5.0,0.0,14.95,10526.4,-2.31
Irlande,4753279.0,99.0,-12.0,93.0,128.0,0.0,-11.0,25.82,77749.2,1.0
Islande,334393.0,2.0,1.0,0.0,10.0,0.0,0.0,29.95,55638.5,1.35
Israël,8243848.0,0.0,-10.0,3.0,636.0,29.0,0.0,67.39,39121.3,-0.89
Italie,60673701.0,97.0,56.0,183.0,1173.0,0.0,0.0,18.88,41581.1,0.31
Jamaïque,2920848.0,31.0,7.0,1.0,152.0,0.0,0.0,51.1,9600.1,0.31
Japon,127502725.0,1069.0,859.0,10.0,2415.0,56.0,0.0,18.5,41444.2,1.11
Jordanie,9785843.0,64.0,-10.0,10.0,275.0,0.0,0.0,28.07,10003.6,-0.45
Kazakhstan,18080019.0,174.0,8.0,6.0,331.0,0.0,-2.0,18.27,24863.0,0.03
Kenya,50221142.0,0.0,0.0,0.0,35.0,2.0,0.0,0.67,4203.6,-1.13
Kirghizistan,6189733.0,25.0,-1.0,0.0,32.0,0.0,0.0,3.1,5046.7,-0.38
Kiribati,114158.0,1.0,0.0,0.0,2.0,0.0,0.0,17.98,2069.1,0.88
Koweït,4056099.0,137.0,0.0,4.0,189.0,0.0,0.0,46.25,50855.6,-0.05
Lesotho,2091534.0,15.0,1.0,0.0,17.0,0.0,0.0,7.93,2668.3,-0.19
Lettonie,1951097.0,43.0,16.0,20.0,41.0,0.0,0.0,20.89,28673.6,0.46
Liban,6819373.0,13.0,0.0,4.0,73.0,0.0,0.0,10.74,15953.7,-1.63
Libye,6580724.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23468.0,-2.36
Libéria,4702226.0,48.0,12.0,0.0,50.0,0.0,0.0,10.67,1564.2,-0.33
Lituanie,2845414.0,44.0,12.0,68.0,82.0,0.0,0.0,28.19,33761.9,0.78
Luxembourg,591910.0,11.0,0.0,1.0,11.0,0.0,0.0,18.33,114986.0,1.33
Macédoine du Nord,2081996.0,40.0,0.0,1.0,41.0,0.0,0.0,19.73,15706.4,-0.25
Madagascar,25570512.0,0.0,0.0,0.0,82.0,2.0,0.0,2.87,1584.4,-0.3
Malaisie,31104646.0,68.0,128.0,44.0,1621.0,82.0,-1.0,39.21,26661.5,0.12
Malawi,17670196.0,0.0,33.0,0.0,98.0,7.0,0.0,5.17,1472.1,-0.25
Maldives,496402.0,12.0,0.0,0.0,12.0,0.0,0.0,13.5,18057.9,0.23
Mali,18512430.0,1.0,-4.0,0.0,52.0,0.0,0.0,2.83,2246.8,-1.91
Malte,437933.0,9.0,-1.0,0.0,14.0,0.0,0.0,27.17,43559.3,1.25
Maroc,35581255.0,3.0,17.0,1.0,746.0,0.0,0.0,20.96,7312.1,-0.37
Maurice,1264499.0,2.0,0.0,0.0,49.0,0.0,0.0,37.93,21415.1,0.97
Mauritanie,4282570.0,24.0,6.0,0.0,22.0,0.0,0.0,5.14,5108.5,-0.63
Mexique,124777324.0,972.0,-6.0,9.0,4219.0,161.0,0.0,32.52,19721.3,-0.8
Micronésie (États fédérés de),111459.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3489.7,1.18
Mongolie,3113786.0,10.0,1.0,0.0,9.0,0.0,0.0,2.77,11366.3,0.79
Monténégro,627563.0,8.0,1.0,0.0,10.0,0.0,0.0,15.98,19682.3,-0.06
Mozambique,28649018.0,24.0,-1.0,0.0,116.0,4.0,0.0,3.59,1283.7,-0.93
Myanmar,53382523.0,3.0,-1.0,0.0,1666.0,45.0,0.0,30.37,4224.5,-1.08
Namibie,2402633.0,29.0,0.0,12.0,28.0,0.0,0.0,11.53,10171.4,0.63
Nauru,10573.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12973.8,0.52
Nicaragua,6384846.0,6.0,11.0,0.0,138.0,0.0,0.0,21.59,6004.0,-0.05
Niger,21602382.0,3.0,0.0,0.0,21.0,1.0,0.0,0.94,1163.2,-1.27
Nigéria,190873244.0,0.0,0.0,0.0,202.0,10.0,0.0,1.01,5190.4,-2.0
Norvège,5296326.0,2.0,1.0,0.0,102.0,0.0,0.0,19.05,64050.8,1.17
Nouvelle-Calédonie,277150.0,9.0,-1.0,0.0,11.0,0.0,0.0,38.71,0.0,0.0
Nouvelle-Zélande,4702034.0,1.0,32.0,23.0,168.0,0.0,-6.0,34.79,42218.5,1.6
Népal,27632681.0,0.0,0.0,0.0,58.0,3.0,0.0,1.99,3565.2,-0.61
Oman,4665928.0,126.0,2.0,16.0,114.0,0.0,0.0,21.63,33308.5,0.75
Ouganda,41166588.0,0.0,0.0,0.0,66.0,3.0,0.0,1.52,2074.7,-0.57
Ouzbékistan,31959785.0,0.0,0.0,0.0,0.0,0.0,0.0,1.96,6840.7,-0.24
Pakistan,207906209.0,2.0,-3.0,4.0,1282.0,64.0,0.0,5.86,5091.1,-2.41
Palaos,17808.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17768.4,0.87
Palestine,4747227.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6401.7,-1.66
Panama,4106769.0,20.0,25.0,0.0,192.0,2.0,0.0,33.82,30446.8,0.39
Papouasie-Nouvelle-Guinée,8438036.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4285.1,-0.7
Paraguay,6867061.0,1.0,0.0,4.0,41.0,0.0,0.0,5.99,12590.5,0.0
