Zone,Élément,Produit,Année,Valeur,Population
Afghanistan,Production,Viande de Volailles,2017.0,28.0,36296113.0
Afghanistan,Importations - Quantité,Viande de Volailles,2017.0,29.0,36296113.0
Afghanistan,Variation de stock,Viande de Volailles,2017.0,0.0,36296113.0
Afghanistan,Disponibilité intérieure,Viande de Volailles,2017.0,57.0,36296113.0
Afghanistan,Pertes,Viande de Volailles,2017.0,2.0,36296113.0
Afghanistan,Résidus,Viande de Volailles,2017.0,0.0,36296113.0
Afghanistan,Nourriture,Viande de Volailles,2017.0,55.0,36296113.0
Afghanistan,Disponibilité alimentaire en quantité (kg/personne/an),Viande de Volailles,2017.0,1.53,36296113.0
Afghanistan,Disponibilité alimentaire (Kcal/personne/jour),Viande de Volailles,2017.0,5.0,36296113.0
Afghanistan,Disponibilité de protéines en quantité (g/personne/jour),Viande de Volailles,2017.0,0.54,36296113.0
Afghanistan,Disponibilité de matière grasse en quantité (g/personne/jour),Viande de Volailles,2017.0,0.33,36296113.0
Afghanistan,"PIB par habitant, ($ PPA internationaux constants de 2017)",Viande de Volailles,2017.0,2058.4,36296113.0
Afghanistan,Stabilité politique et absence de violence/terrorisme (indice),Viande de Volailles,2017.0,-2.8,36296113.0
Afrique du Sud,Production,Viande de Volailles,2017.0,1667.0,57009756.0
Afrique du Sud,Importations - Quantité,Viande de Volailles,2017.0,514.0,57009756.0
Afrique du Sud,Variation de stock,Viande de Volailles,2017.0,-0.0,57009756.0
Afrique du Sud,Exportations - Quantité,Viande de Volailles,2017.0,63.0,57009756.0
Afrique du Sud,Disponibilité intérieure,Viande de Volailles,2017.0,2118.0,57009756.0
Afrique du Sud,Pertes,Viande de Volailles,2017.0,83.0,57009756.0
Afrique du Sud,Alimentation pour touristes,Viande de Volailles,2017.0,0.0,57009756.0
Afrique du Sud,Résidus,Viande de Volailles,2017.0,0.0,57009756.0
Afrique du Sud,Nourriture,Viande de Volailles,2017.0,2035.0,57009756.0
Afrique du Sud,Disponibilité alimentaire en quantité (kg/personne/an),Viande de Volailles,2017.0,35.69,57009756.0
Afrique du Sud,Disponibilité alimentaire (Kcal/personne/jour),Viande de Volailles,2017.0,143.0,57009756.0
Afrique du Sud,Disponibilité de protéines en quantité (g/personne/jour),Viande de Volailles,2017.0,14.11,57009756.0
Afrique du Sud,Disponibilité de matière grasse en quantité (g/personne/jour),Viande de Volailles,2017.0,9.25,57009756.0
Afrique du Sud,"PIB par habitant, ($ PPA internationaux constants de 2017)",Viande de Volailles,2017.0,13860.3,57009756.0
Afrique du Sud,Stabilité politique et absence de violence/terrorisme (indice),Viande de Volailles,2017.0,-0.28,57009756.0
Albanie,Production,Viande de Volailles,2017.0,13.0,2884169.0
Albanie,Importations - Quantité,Viande de Volailles,2017.0,38.0,2884169.0
Albanie,Variation de stock,Viande de Volailles,2017.0,4.0,2884169.0
Albanie,Exportations - Quantité,Viande de Volailles,2017.0,0.0,2884169.0
Albanie,Disponibilité intérieure,Viande de Volailles,2017.0,47.0,2884169.0
Albanie,Résidus,Viande de Volailles,2017.0,0.0,2884169.0
Albanie,Nourriture,Viande de Volailles,2017.0,47.0,2884169.0
Albanie,Disponibilité alimentaire en quantité (kg/personne/an),Viande de Volailles,2017.0,16.36,2884169.0
Albanie,Disponibilité alimentaire (Kcal/personne/jour),Viande de Volailles,2017.0,85.0,2884169.0
Albanie,Disponibilité de protéines en quantité (g/personne/jour),Viande de Volailles,2017.0,6.26,2884169.0
Albanie,Disponibilité de matière grasse en quantité (g/personne/jour),Viande de Volailles,2017.0,6.45,2884169.0
Albanie,"PIB par habitant, ($ PPA internationaux constants de 2017)",Viande de Volailles,2017.0,12771.0,2884169.0
Albanie,Stabilité politique et absence de violence/terrorisme (indice),Viande de Volailles,2017.0,0.38,2884169.0
Algérie,Production,Viande de Volailles,2017.0,275.0,41389189.0
Algérie,Importations - Quantité,Viande de Volailles,2017.0,2.0,41389189.0
Algérie,Variation de stock,Viande de Volailles,2017.0,0.0,41389189.0
Algérie,Exportations - Quantité,Viande de Volailles,2017.0,0.0,41389189.0
Algérie,Disponibilité intérieure,Viande de Volailles,2017.0,277.0,41389189.0
Algérie,Pertes,Viande de Volailles,2017.0,13.0,41389189.0
Algérie,Alimentation pour touristes,Viande de Volailles,2017.0,0.0,41389189.0
Algérie,Résidus,Viande de Volailles,2017.0,0.0,41389189.0
Algérie,Nourriture,Viande de Volailles,2017.0,264.0,41389189.0
Algérie,Disponibilité alimentaire en quantité (kg/personne/an),Viande de Volailles,2017.0,6.38,41389189.0
Algérie,Disponibilité alimentaire (Kcal/personne/jour),Viande de Volailles,2017.0,22.0,41389189.0
Algérie,Disponibilité de protéines en quantité (g/personne/jour),Viande de Volailles,2017.0,1.97,41389189.0
Algérie,Disponibilité de matière grasse en quantité (g/personne/jour),Viande de Volailles,2017.0,1.5,41389189.0
